"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Feb 13 22:35:03 GMT 2024","Tue Feb 13 22:35:03 GMT 2024","9","","Task20.ZipCodesTest","","Task20.ZipCodesTest","duplicateValidationInZipCodeListTest","duplicateValidationInZipCodeListTest()","Scenario #3: Add duplicated Zip Codes which don't exist in the Zip Codes list"
"passed","Tue Feb 13 22:35:03 GMT 2024","Tue Feb 13 22:35:03 GMT 2024","30","","Task40.GetFilteredUsersTest","","Task40.GetFilteredUsersTest","filterUsersByMaleSexTest","filterUsersByMaleSexTest()","Scenario 3: Filter users by sex (Male) parameter"
"passed","Tue Feb 13 22:35:03 GMT 2024","Tue Feb 13 22:35:03 GMT 2024","32","","Task50.UpdateUserTest","","Task50.UpdateUserTest","updateUserWithPatchMethodTest","updateUserWithPatchMethodTest()","Scenario 1: Update user using patch method"
"failed","Tue Feb 13 22:35:03 GMT 2024","Tue Feb 13 22:35:03 GMT 2024","16","","Task70.UploadUserTest","","Task70.UploadUserTest","uploadUserWithInvalidZipCodeTest","uploadUserWithInvalidZipCodeTest()","Scenario 2: Update user with invalid zip code"
"passed","Tue Feb 13 22:35:03 GMT 2024","Tue Feb 13 22:35:03 GMT 2024","30","","Task40.GetFilteredUsersTest","","Task40.GetFilteredUsersTest","filterUsersByFemaleSexTest","filterUsersByFemaleSexTest()","Scenario 3: Filter users by sex (Female) parameter"
"passed","Tue Feb 13 22:35:03 GMT 2024","Tue Feb 13 22:35:03 GMT 2024","18","","Task50.UpdateUserTest","","Task50.UpdateUserTest","updateUserWithUnavailableZipCodeTest","updateUserWithUnavailableZipCodeTest()","Scenario 2: Update user with unavailable zip code"
"passed","Tue Feb 13 22:35:02 GMT 2024","Tue Feb 13 22:35:02 GMT 2024","80","","Task60.DeleteUserTest","","Task60.DeleteUserTest","deleteUserWithOnlyRequiredFieldsTest","deleteUserWithOnlyRequiredFieldsTest()","Scenario 2: Delete user with only required fields"
"passed","Tue Feb 13 22:35:03 GMT 2024","Tue Feb 13 22:35:03 GMT 2024","46","","Task30.CreateUserTest","","Task30.CreateUserTest","createUserWithAllFieldsTest","createUserWithAllFieldsTest()","Scenario #1: Create user with all fields"
"passed","Tue Feb 13 22:35:03 GMT 2024","Tue Feb 13 22:35:03 GMT 2024","36","","Task30.CreateUserTest","","Task30.CreateUserTest","createUserWithTheSameNameAndSexTest","createUserWithTheSameNameAndSexTest()","Scenario #4: Create user with the same sex and name"
"passed","Tue Feb 13 22:35:03 GMT 2024","Tue Feb 13 22:35:03 GMT 2024","111","","Task40.GetFilteredUsersTest","","Task40.GetFilteredUsersTest","filterUsersYoungerThanTest","filterUsersYoungerThanTest()","Scenario #2: Filter users by younger than parameter"
"passed","Tue Feb 13 22:35:03 GMT 2024","Tue Feb 13 22:35:03 GMT 2024","135","","Task50.UpdateUserTest","","Task50.UpdateUserTest","updateUserWithoutSexTest","updateUserWithoutSexTest()","Scenario 3: Update user without sex"
"passed","Tue Feb 13 22:35:03 GMT 2024","Tue Feb 13 22:35:03 GMT 2024","26","","Task40.GetFilteredUsersTest","","Task40.GetFilteredUsersTest","filterUsersOlderThanTest","filterUsersOlderThanTest()","Scenario #1: Filter users by older than parameter"
"passed","Tue Feb 13 22:35:03 GMT 2024","Tue Feb 13 22:35:03 GMT 2024","12","","Task30.CreateUserTest","","Task30.CreateUserTest","createUserWithUnavailableZipCodeTest","createUserWithUnavailableZipCodeTest()","Scenario #3: Create user with unavailable zip code"
"passed","Tue Feb 13 22:35:03 GMT 2024","Tue Feb 13 22:35:03 GMT 2024","8","","Task20.ZipCodesTest","","Task20.ZipCodesTest","addZipCodeTest","addZipCodeTest()","Scenario #2: Add valid Zip Code"
"passed","Tue Feb 13 22:35:02 GMT 2024","Tue Feb 13 22:35:02 GMT 2024","36","","Task60.DeleteUserTest","","Task60.DeleteUserTest","deleteUserWithoutSexTest","deleteUserWithoutSexTest()","Scenario 3: Delete user without sex"
"failed","Tue Feb 13 22:35:03 GMT 2024","Tue Feb 13 22:35:03 GMT 2024","20","","Task50.UpdateUserTest","","Task50.UpdateUserTest","updateUserWithoutAgeTest","updateUserWithoutAgeTest()","Scenario 3: Update user without age"
"passed","Tue Feb 13 22:35:03 GMT 2024","Tue Feb 13 22:35:03 GMT 2024","11","","Task20.ZipCodesTest","","Task20.ZipCodesTest","addSeveralZipCodesTest","addSeveralZipCodesTest()","Scenario #2: Add several valid Zip Codes"
"passed","Tue Feb 13 22:34:59 GMT 2024","Tue Feb 13 22:35:02 GMT 2024","2797","","Task60.DeleteUserTest","","Task60.DeleteUserTest","deleteUserWithAllFieldsTest","deleteUserWithAllFieldsTest()","Scenario 1: Delete user with all fields"
"failed","Tue Feb 13 22:35:03 GMT 2024","Tue Feb 13 22:35:03 GMT 2024","9","","Task20.ZipCodesTest","","Task20.ZipCodesTest","getAllAvailableZipCodeTest","getAllAvailableZipCodeTest()","Scenario #1: Get the list of all available Zip Codes"
"failed","Tue Feb 13 22:35:03 GMT 2024","Tue Feb 13 22:35:03 GMT 2024","32","","Task70.UploadUserTest","","Task70.UploadUserTest","uploadUserWithoutSexTest","uploadUserWithoutSexTest()","Scenario 3: Update user without sex"
"passed","Tue Feb 13 22:35:02 GMT 2024","Tue Feb 13 22:35:02 GMT 2024","106","","Task60.DeleteUserTest","","Task60.DeleteUserTest","deleteUserWithoutNameTest","deleteUserWithoutNameTest()","Scenario 3: Delete user without user name"
"passed","Tue Feb 13 22:35:03 GMT 2024","Tue Feb 13 22:35:03 GMT 2024","15","","Task30.CreateUserTest","","Task30.CreateUserTest","createUserWithOnlyRequiredFieldsTest","createUserWithOnlyRequiredFieldsTest()","Scenario #2: Create user with only required fields"
"failed","Tue Feb 13 22:35:03 GMT 2024","Tue Feb 13 22:35:03 GMT 2024","12","","Task20.ZipCodesTest","","Task20.ZipCodesTest","duplicationsAlreadyExistInZipCodeListTest","duplicationsAlreadyExistInZipCodeListTest()","Scenario #3: Add duplicated Zip Codes which already exist in the Zip Codes list"
"failed","Tue Feb 13 22:35:02 GMT 2024","Tue Feb 13 22:35:03 GMT 2024","129","","Task70.UploadUserTest","","Task70.UploadUserTest","uploadUserWithoutNameTest","uploadUserWithoutNameTest()","Scenario 3: Update user without user name"
"failed","Tue Feb 13 22:35:03 GMT 2024","Tue Feb 13 22:35:03 GMT 2024","28","","Task50.UpdateUserTest","","Task50.UpdateUserTest","updateUserWithPutMethodTest","updateUserWithPutMethodTest()","Scenario 1: Update user using put method"
"passed","Tue Feb 13 22:35:03 GMT 2024","Tue Feb 13 22:35:03 GMT 2024","19","","Task50.UpdateUserTest","","Task50.UpdateUserTest","updateUserWithoutNameTest","updateUserWithoutNameTest()","Scenario 3: Update user without name"
"passed","Tue Feb 13 22:35:03 GMT 2024","Tue Feb 13 22:35:03 GMT 2024","27","","Task70.UploadUserTest","","Task70.UploadUserTest","uploadUserTest","uploadUserTest()","Scenario 1: Update user with all fields"
